title,agency,date
"Pharmacist and Brother Convicted of $15M Medicare, Medicaid, and Private Insurer Fraud Scheme",U.S. Department of Justice,
Boise Nurse Practitioner Sentenced To 48 Months For Conspiracy To Distribute Controlled Substances,"November 7, 2024; U.S. Attorney's Office, District of Idaho",
Former Traveling Nurse Pleads Guilty To Tampering With Morphine,"U.S. Attorney's Office, District of Massachusetts",
Former Arlington Resident Sentenced To Prison For Disclosing Healthcare Records And Trying To Cover Up His Crimes,"U.S. Attorney's Office, Eastern District of Virginia",
Paroled Felon Sentenced To Six Years For Fraudulent Use Of Social Security Number And Theft Of Benefits,"U.S. Attorney's Office, Middle District of Florida",
Former Licensed Counselor Sentenced For Defrauding Medicaid,"U.S. Attorney's Office, Western District of Texas",
"Macomb County Doctor And Pharmacist Agree To Pay $700,948 To Settle False Claims Act Allegations","U.S. Attorney's Office, Eastern District of Michigan",
"Rocky Hill Pharmacy And Its Owners Indicted For Conspiring To Submit False Pharmacy Claims, Making False Statements, And Aggravated Identity Theft","U.S. Attorney's Office, Eastern District of Tennessee",
"North Texas Medical Center Pays $14.2 Million To Resolve Potential False Claims Act Liability For Self-Reported Violations Of Medicare Regs, Stark Law","U.S. Attorney's Office, Northern District of Texas",
New England Doctor Pleads Guilty To Drug Distribution Conspiracy,U.S. Department of Justice,
Attorney General Alan Wilson Announces Upstate Woman Charged With Stealing Thousands Of Dollars From Vulnerable Adult,State of South Carolina,
St. Louis County Woman Accused Of $3 Million Home Health Care Fraud,"U.S. Attorney's Office, Eastern District of Missouri",
Lab Owner And Marketing Company Owner Both Found Guilty In Multi-Million Dollar Medicare And Medicaid Fraud Scheme,"U.S. Attorney's Office, Middle District of Tennessee",
"Compound Ingredient Supplier Medisca Inc., To Pay $21.75M To Resolve Allegations Of False And Inflated Average Wholesale Prices For Ingredients Used In Compounded Prescriptions",U.S. Department of Justice,
"The New Mexico Department Of Justice Charges Former New Mexico State Police Officer With Medicaid Fraud, Identity Theft, And Practicing Medicine Without A License",State of New Mexico,
"Nashville Woman Indicted, Charged In TBI Medicaid Patient Abuse Case",State of Tennessee,
"Columbus Doctor, His Clinic Convicted of $1.5 Million Medicaid Scheme",Ohio,
"Quincy-Based Physician Group To Pay $650,000 To Resolve Allegations Of False Billing To MassHealth",State of Massachusetts,
Boise Health Care Company And Former Therapist Resolve Fraudulent Psychotherapy Billing Allegations Involving Vulnerable Refugee Population,"U.S. Attorney's Office, District of Idaho",
Drug Dealer Sentenced To Nine Years In Prison For Opioid Pill Mill Scheme That Illegally Distributed More Than 1.2 Million Oxycodone Pills,"U.S. Attorney's Office, Eastern District of New York",
"Former Sioux City Plastic Surgeon Agrees To Pay Nearly $200,000 To Settle Allegations He Submitted False Claims","U.S. Attorney's Office, Northern District of Iowa",
Medical Billing Company Owner Pleads Guilty To Health Care Fraud,"U.S. Attorney's Office, Northern District of New York",
Doctor Sentenced For $54M Medicare Fraud Scheme,U.S. Department of Justice,
AG's Office Reaches Settlement With Swampscott-Based Medical Transportation Company To Resolve False Billing Allegations,State of Massachusetts,
Physician Charged In Scheme To Illegally Sell Cancer Drugs,"U.S. Attorney's Office, Eastern District of Michigan",
Washington Doctor Settles Allegations He Submitted False Claims To Federal Health Care Programs,"U.S. Attorney's Office, Western District of Washington",
Tennessee Business Owner Convicted of $35M Fraud Scheme,U.S. Department of Justice,
Attorney General Griffin Announces Medicaid Fraud Arrest,State of Arkansas,
Arizona Doctor Sentenced To Prison For Health Care Fraud,"U.S. Attorney's Office, District of Arizona",
Pharmacy Owner Sentenced For Role In $6.9 Million Scheme To Bill Insurance For Medications Not Dispensed,"U.S. Attorney's Office, Eastern District of Michigan",
Attorney General Alan Wilson Announces Spartanburg Nurse Aide Charged With Stealing From Vulnerable Adult,State of South Carolina,
New York Doctor Charged with Health Care Fraud,"U.S. Attorney's Office, District of Massachusetts",
Former Eastern Kentucky Pharmacist Sentenced For Health Care Fraud,"U.S. Attorney's Office, Eastern District of Kentucky",
"California Mobile Phlebotomy Lab And Its Owners To Pay $135,000 To Resolve Allegedly False Claims For Blood Testing Services And Travel Mileage",U.S. Department of Justice,
Stamford Woman Charged In Scheme To Defraud Medicaid,State of Connecticut,
Attorney General James Announces Convictions of Orange County Transportation Company Owners for Stealing More Than $2.1 Million from Medicaid,State of New York,
Waterford Woman Admits Theft from Addiction and Mental Health Services Nonprofit,"U.S. Attorney's Office, District of Connecticut",
