Title,Date,Category,Link,Agency
Home Health Care Company Operators Sentenced To Prison In $5.5 Million Kickback Scheme And Tax Evasion,"September 5, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-care-company-operators-sentenced-to-prison-in-55-million-kickback-scheme-and-tax-evasion/,"U.S. Attorney's Office, Eastern District of Michigan"
Macon Resident Sentenced For Obstructing Justice In Civil Investigation,"September 5, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/macon-resident-sentenced-for-obstructing-justice-in-civil-investigation/,"U.S. Attorney's Office, Middle District of Georgia"
"Attorney General Moody Announces Arrest Of Owner Of Caregiving Company For More Than $20,000 In Medicaid Fraud","September 5, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-moody-announces-arrest-of-owner-of-caregiving-company-for-more-than-20000-in-medicaid-fraud/,State of Florida
Former Chief Operating Officer Of COVID-19 Testing Kit Company Sentenced To More Than Six Years In Federal Prison For Embezzling $1.85 Million,"September 4, 2024",COVID-19,https://oig.hhs.gov/fraud/enforcement/former-chief-operating-officer-of-covid-19-testing-kit-company-sentenced-to-more-than-six-years-in-federal-prison-for-embezzling-185-million/,"U.S. Attorney's Office, Northern District of Illinois"
Connecticut Dentist Pleads Guilty To Violating Federal Anti-Kickback Law,"September 4, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-dentist-pleads-guilty-to-violating-federal-anti-kickback-law/,"U.S. Attorney's Office, District of Connecticut"
Pharmaceutical Company Pays $25 Million To Resolve Alleged False Claims Act Liability For Price-Fixing Of Generic Drug,"September 4, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmaceutical-company-pays-25-million-to-resolve-alleged-false-claims-act-liability-for-price-fixing-of-generic-drug/,"U.S. Department of Justice and U.S. Attorney's Office, Eastern District of Pennsylvania"
Attorney General Brown Announces Conviction of Washington County Care Provider Who Assaulted Vulnerable Adult,"September 4, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-brown-announces-conviction-of-washington-county-care-provider-who-assaulted-vulnerable-adult/,State of Maryland
Four Defendants Plead Guilty To Defrauding Virginia Medicaid,"September 3, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/four-defendants-plead-guilty-to-defrauding-virginia-medicaid/,"U.S. Attorney's Office, Eastern District of Virginia"
Former Dentist Who Stole Millions From Maryland Medicaid Now Sentenced For Violating Probation,"August 30, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-dentist-who-stole-millions-from-maryland-medicaid-now-sentenced-for-violating-probation/,State of Maryland
West Hartford Woman Sentenced For Medicaid Fraud,"August 29, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/west-hartford-woman-sentenced-for-medicaid-fraud/,State of Connecticut
Connecticut Dentists Pay $1.7 Million To Settle False Claims Allegations,"August 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-dentists-pay-17-million-to-settle-false-claims-allegations/,"U.S. Attorney’s Office, District of Connecticut"
Madison Man Pleads Guilty To Conspiracy To Defraud The United States,"August 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/madison-man-pleads-guilty-to-conspiracy-to-defraud-the-united-states/,"U.S. Attorney’s Office, Southern District of Mississippi"
U.S. Attorney Jesse Laslovich Announces $10.8 Million Civil Settlement With St. Peter’s Health Over False Claims Act Misconduct,"August 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-jesse-laslovich-announces-108-million-civil-settlement-with-st-peters-health-over-false-claims-act-misconduct/,"U.S. Attorney's Office, District of Montana"
Suffolk Services Provider Pleads Guilty To Health Care Fraud,"August 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/suffolk-services-provider-pleads-guilty-to-healthcare-fraud/,"U.S. Attorney’s Office, Eastern District of Virginia"
